id;idade;sexo;estado_civil;escola;Qte_dependentes;tempo_ultimoservico;trabalha;vl_salario_mil;reg_moradia;casa_propria;vl_imovel_em_mil;Qte_cartoes;Qte_carros;SCORE_CREDITO
708082083;45;F;casado;graduacao;3;40;1;40089,67;3;0;0;1;1;778
708083283;58;M;solteiro;ensino fundam;0;44;1;66557,65;3;0;0;1;0;276
708084558;46;M;divorciado;doutorado;3;35;1;123681,82;6;0;0;1;1;401
708085458;34;F;solteiro;mestrado;0;22;1;19715,93;6;0;0;1;0;347
708086958;49;F;casado;mestrado;2;36;0;0;3;1;437000;1;2;476
708095133;43;M;na;doutorado;4;32;1;182752,69;5;0;0;1;1;523
708098133;32;F;casado;ensino medio;0;18;1;15906,5;6;0;0;1;0;186
708099183;37;F;solteiro;graduacao;0;34;1;18463,94;4;0;0;1;0;377
708100533;55;F;solteiro;ensino fundam;0;33;1;24812,8;3;0;0;1;1;502
708103608;52;M;solteiro;graduacao;0;47;1;124484,51;1;1;1580000;1;1;805
708104658;46;M;na;ensino medio;1;33;1;65226,54;4;0;0;1;1;407
708108333;47;F;casado;ensino medio;3;33;0;0;3;1;151000;1;1;284
708112008;56;M;casado;ensino medio;2;34;1;133493,64;4;0;0;1;1;479
708113208;53;F;casado;graduacao;1;34;1;23409,88;3;1;438000;1;1;435
708117933;44;F;divorciado;ensino medio;2;34;1;18947,17;3;1;247000;1;1;345
708119658;49;F;casado;ensino medio;4;36;1;67418,66;4;0;0;1;1;433
708121908;48;M;casado;mestrado;4;33;1;127899,51;2;1;205000;1;1;533
708123033;41;F;solteiro;ensino medio;0;29;1;37362,72;2;1;1451000;2;0;599
708125733;46;F;divorciado;ensino fundam;2;33;1;22330,92;4;0;0;1;1;478
708128733;50;F;solteiro;doutorado;0;32;1;105121,57;5;0;0;1;1;568
708129933;45;F;solteiro;ensino medio;1;33;1;21908,38;5;0;0;1;1;424
708132783;47;F;solteiro;mestrado;0;40;0;0;6;0;0;1;0;410
708134283;35;M;casado;mestrado;2;33;1;16082,22;4;0;0;1;1;374
708136908;62;F;solteiro;ensino medio;0;51;1;25402,33;5;0;0;1;0;490
708139833;40;M;na;ensino medio;3;28;1;90394,27;4;0;0;1;1;360
708145908;61;F;casado;ensino medio;0;47;1;76194,43;3;1;400000;1;1;545
708147108;26;M;divorciado;ensino medio;0;35;0;0;6;0;0;1;0;407
708148158;39;F;casado;ensino fundam;4;18;0;0;2;1;421000;1;1;346
708151008;49;F;casado;ensino medio;4;40;1;66753,29;5;0;0;1;0;351
708152358;54;M;na;doutorado;1;35;1;144198,27;1;1;802000;1;1;638
708153558;46;M;divorciado;doutorado;5;36;1;201516,45;1;1;794000;1;1;789
708154833;39;F;solteiro;ensino medio;0;24;1;18059,04;1;1;234000;1;1;325
708155733;53;M;solteiro;graduacao;0;42;1;192419,89;4;0;0;1;0;369
708158133;45;M;casado;ensino fundam;3;34;1;123499,99;3;1;219000;1;1;363
708160008;44;M;casado;mestrado;1;38;1;197421,31;1;1;741000;1;1;760
708161133;45;M;solteiro;ensino medio;0;31;1;65876,02;5;0;0;1;0;351
708162558;64;F;casado;mestrado;0;53;0;0;6;0;0;1;0;298
708163758;41;M;casado;doutorado;3;36;1;205639,92;1;1;1309000;1;2;959
708170508;38;M;casado;ensino medio;2;33;1;88235,49;2;1;165000;1;1;371
708171858;33;F;casado;doutorado;3;26;1;59680,52;5;0;0;1;1;325
